step,episode,reward,length
1020,1,-20.000000,1020
1949,2,-21.000000,929
2851,3,-20.000000,902
3857,4,-21.000000,1006
4820,5,-20.000000,963
5718,6,-21.000000,898
6656,7,-21.000000,938
7656,8,-20.000000,1000
8476,9,-21.000000,820
9658,10,-18.000000,1182
10843,11,-18.000000,1185
11846,12,-20.000000,1003
12850,13,-21.000000,1004
13859,14,-21.000000,1009
14704,15,-21.000000,845
15587,16,-21.000000,883
16439,17,-21.000000,852
17330,18,-21.000000,891
18229,19,-21.000000,899
19049,20,-21.000000,820
20063,21,-20.000000,1014
21114,22,-19.000000,1051
22075,23,-20.000000,961
22908,24,-20.000000,833
23827,25,-20.000000,919
24870,26,-18.000000,1043
25808,27,-19.000000,938
26686,28,-21.000000,878
27449,29,-21.000000,763
28271,30,-21.000000,822
29078,31,-21.000000,807
29900,32,-21.000000,822
30976,33,-21.000000,1076
31954,34,-20.000000,978
33118,35,-19.000000,1164
34043,36,-20.000000,925
34805,37,-21.000000,762
35704,38,-20.000000,899
36462,39,-21.000000,758
37307,40,-21.000000,845
38131,41,-21.000000,824
38916,42,-21.000000,785
39781,43,-21.000000,865
40603,44,-21.000000,822
41625,45,-20.000000,1022
42565,46,-21.000000,940
43328,47,-21.000000,763
44272,48,-21.000000,944
45203,49,-20.000000,931
46163,50,-20.000000,960
47141,51,-20.000000,978
48121,52,-20.000000,980
48942,53,-21.000000,821
49788,54,-21.000000,846
50606,55,-21.000000,818
51619,56,-20.000000,1013
52380,57,-21.000000,761
53221,58,-21.000000,841
54118,59,-21.000000,897
55049,60,-20.000000,931
56319,61,-19.000000,1270
57244,62,-21.000000,925
58185,63,-21.000000,941
59065,64,-21.000000,880
59884,65,-21.000000,819
60704,66,-21.000000,820
61496,67,-21.000000,792
62395,68,-20.000000,899
63609,69,-20.000000,1214
64433,70,-21.000000,824
65305,71,-21.000000,872
66189,72,-20.000000,884
67249,73,-19.000000,1060
68208,74,-21.000000,959
69138,75,-21.000000,930
70335,76,-18.000000,1197
71097,77,-21.000000,762
71977,78,-20.000000,880
72920,79,-20.000000,943
73682,80,-21.000000,762
74711,81,-18.000000,1029
75620,82,-21.000000,909
76451,83,-20.000000,831
77462,84,-20.000000,1011
78375,85,-20.000000,913
79190,86,-21.000000,815
80114,87,-21.000000,924
81011,88,-21.000000,897
82000,89,-19.000000,989
83074,90,-20.000000,1074
83919,91,-21.000000,845
85027,92,-21.000000,1108
85928,93,-21.000000,901
86793,94,-21.000000,865
87756,95,-21.000000,963
88661,96,-21.000000,905
89481,97,-21.000000,820
90316,98,-21.000000,835
91489,99,-19.000000,1173
92252,100,-21.000000,763
93260,101,-19.000000,1008
94247,102,-19.000000,987
95011,103,-21.000000,764
95768,104,-21.000000,757
96531,105,-21.000000,763
97323,106,-21.000000,792
98300,107,-20.000000,977
99391,108,-20.000000,1091
100740,109,-18.000000,1349
101850,110,-19.000000,1110
102800,111,-20.000000,950
103893,112,-18.000000,1093
104926,113,-20.000000,1033
106003,114,-19.000000,1077
107035,115,-18.000000,1032
107913,116,-21.000000,878
108947,117,-20.000000,1034
109766,118,-21.000000,819
110555,119,-21.000000,789
111577,120,-21.000000,1022
112375,121,-21.000000,798
113368,122,-20.000000,993
114381,123,-20.000000,1013
115166,124,-21.000000,785
116008,125,-21.000000,842
117134,126,-19.000000,1126
117896,127,-21.000000,762
118812,128,-20.000000,916
